Method,Dataset,Mean,Std,CV,CI_lower,CI_upper,Stable,N_seeds
LR + None,Pima (IR=1.9),0.4564,0.0354,0.0777,0.4123,0.5004,True,5
LR + None,Phoneme (IR=2.4),0.5329,0.0141,0.0266,0.5153,0.5505,True,5
LR + SMOTE,Pima (IR=1.9),0.3447,0.0332,0.0962,0.3035,0.3859,True,5
LR + SMOTE,Phoneme (IR=2.4),0.3482,0.0141,0.0405,0.3307,0.3657,True,5
LR + ClassWt,Pima (IR=1.9),0.3465,0.0316,0.0913,0.3072,0.3857,True,5
LR + ClassWt,Phoneme (IR=2.4),0.3484,0.0137,0.0392,0.3315,0.3654,True,5
LR + SMOTE + TS,Pima (IR=1.9),0.3536,0.0336,0.095,0.3119,0.3954,True,5
LR + SMOTE + TS,Phoneme (IR=2.4),0.3581,0.0116,0.0325,0.3437,0.3726,True,5
LR + SMOTE + PCDM,Pima (IR=1.9),0.3379,0.0354,0.1047,0.294,0.3818,True,5
LR + SMOTE + PCDM,Phoneme (IR=2.4),0.3243,0.0121,0.0374,0.3093,0.3394,True,5
RF + None,Pima (IR=1.9),0.455,0.0292,0.0641,0.4188,0.4912,True,5
RF + None,Phoneme (IR=2.4),0.3005,0.0081,0.0269,0.2905,0.3106,True,5
RF + SMOTE,Pima (IR=1.9),0.3896,0.0285,0.0731,0.3543,0.425,True,5
RF + SMOTE,Phoneme (IR=2.4),0.2222,0.0053,0.024,0.2156,0.2288,True,5
RF + SMOTE + PCDM,Pima (IR=1.9),0.4866,0.0036,0.0073,0.4821,0.491,True,5
RF + SMOTE + PCDM,Phoneme (IR=2.4),0.4532,0.0013,0.0029,0.4516,0.4549,True,5
