ablation,param_value,dataset,model,ece_global,ece_minority,recall_minority,f1_minority
smote_ratio,0.5,phoneme,logistic_regression,0.0549985589515931,0.5065069032561017,0.526813880126183,0.5557404326123128
smote_ratio,0.5,phoneme,random_forest,0.0284367626132463,0.3167863257426006,0.7917981072555205,0.8122977346278317
smote_ratio,0.5,credit_card,logistic_regression,9.99999999999076e-08,9.999999994736443e-08,1.0,1.0
smote_ratio,0.5,credit_card,random_forest,0.0013827703686729,0.6113626467891334,0.3,0.4615384615384615
smote_ratio,1.0,pima,logistic_regression,0.1407847579758809,0.3567774072250524,0.6851851851851852,0.6218487394957983
smote_ratio,1.0,pima,random_forest,0.0524575225889157,0.4353941378240661,0.6296296296296297,0.6538461538461539
smote_ratio,1.0,phoneme,logistic_regression,0.143270075139962,0.381443119987559,0.7476340694006309,0.602287166454892
smote_ratio,1.0,phoneme,random_forest,0.0347004554162398,0.2885828413660068,0.804416403785489,0.8108108108108109
smote_ratio,1.0,credit_card,logistic_regression,9.99999999999076e-08,9.999999994736443e-08,1.0,1.0
smote_ratio,1.0,credit_card,random_forest,0.0016312185690011,0.6986518509125986,0.1,0.1818181818181818
